CL_NM,TRRSRT_NM,TRRSRT_ADDR,ORIGIN_CL_NM,ANALS_BEGIN_DE,ANALS_END_DE,AVRG_SCORE_VALUE,CORE_KWRD_CN,CORE_KWRD_CO,AFRM_KWRD_CN,AFRM_KWRD_CO,NEGA_KWRD_CN,NEGA_KWRD_CO
레저관광,마라도가는여객선,제주 서귀포시 대정읍 송악관광로 424,NAVER,20230101,20230630,0,"마라도,시간,날씨,멀미,바람,마라,여행,짜장면,남단,예약",10,,0,,0
자연,산양큰엉곶,제주 제주시 한경면 청수리 956-6,NAVER,20230101,20230630,0,"사진,반딧불이,아이,반딧불,산책,포토존,경험,체험,시간,처음",10,,0,,0
테마파크,방림원,제주 제주시 한경면 용금로 864,NAVER,20230101,20230630,0,"식물,생각,구경,사진,시간,방문,다양,산책,정원,추천",10,추천,1,,0
테마파크,제주무민랜드,제주 서귀포시 안덕면 병악로 420,NAVER,20230101,20230630,0,"무민,아이,사진,카페,시간,랜드,생각,볼거리,방문,친절",10,친절,1,,0
테마파크,다이나믹메이즈제주,제주 서귀포시 표선면 번영로 2644,NAVER,20230101,20230630,0,"아이,시간,체험,무릎,레벨,어른,생각,코스,엄마,가족",10,,0,,0
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,NAVER,20230101,20230630,0,"한라봉,스무디,가격,감귤,카페,마들렌,감귤박물관,박물관,음료,공사",10,,0,,0
테마파크,에코랜드,제주 제주시 조천읍 번영로 1278-169,NAVER,20230101,20230630,0,"아이,기차,사진,에코랜드,방문,여행,구경,볼거리,체험,가족",10,,0,,0
공연전시,숨도,제주 서귀포시 일주동로 8941,NAVER,20230101,20230630,0,"수국,카페,사진,방문,산책,정원,힐링,생각,한라산,겨울",10,힐링,1,,0
공연전시,제주유리박물관,제주 서귀포시 중산간서로 1403,NAVER,20230101,20230630,0,"유리,체험,아이,작품,친절,구경,설명,접시,시간,꽃병",10,친절,1,,0
공연전시,제주해양동물박물관,제주 서귀포시 성산읍 서성일로 689-21,NAVER,20230101,20230630,0,"아이,친절,설명,유익,전시,놀이터,체험,시간,문제,직원",10,친절,1,문제,1
공연전시,그리스신화박물관,제주 제주시 한림읍 광산로 942,NAVER,20230101,20230630,0,"아이,그리스,신화,사진,로마,관리,내용,설명,관심,트릭",10,,0,,0
기타,섬타르,제주 제주시 다랑곶1길 9,NAVER,20230101,20230630,0,"타르트,친절,종류,직원,커피,디저트,선물,사장,다음,방문",10,친절,1,,0
기타,망고레이섭지코지점,제주 서귀포시 성산읍 신양로 102,NAVER,20230101,20230630,0,"망고,친절,음료,필리핀,코코넛,주스,제주,가격,아이스크림,코코",10,친절,1,,0
레저관광,걸리버여행기,제주 제주시 우도면 우도로 1,NAVER,20230101,20230630,0,"친절,우도,전기,직원,여행,시간,이용,걸리버,자전거,여행기",10,친절,1,,0
레저관광,산방산유람선,제주 서귀포시 안덕면 화순해안로106번길 16,NAVER,20230101,20230630,0,"유람선,날씨,설명,여행,산방산,부모,바람,추천,관광,시간",10,추천,1,,0
레저관광,제주바다체험장,제주 제주시 구좌읍 동복리 608-3,NAVER,20230101,20230630,0,"아이,체험,물고기,문어,낚시,상어,시간,시설,사장,친절",10,친절,1,,0
레저관광,제주실탄사격장,제주 서귀포시 소보리당로164번길 62,NAVER,20230101,20230630,0,"사격,실탄,친절,처음,경험,설명,방문,체험,직원,여행",10,친절,1,,0
레저관광,중문오프로드체험장,제주 서귀포시 상예로 349,NAVER,20230101,20230630,0,"친절,코스,오프로드,다음,처음,체험,제주도,사장,사진,직원",10,친절,1,,0
레저관광,중문카트,제주 서귀포시 일주서로 1114,NAVER,20230101,20230630,0,"아이,카트,코스,다음,친절,시간,중문,정도,일정,직원",10,친절,1,,0
레저관광,퍼시픽마리나,제주 서귀포시 중문관광로 154-17,NAVER,20230101,20230630,0,"요트,친절,낚시,시간,직원,여행,보트,바다,제트,날씨",10,친절,1,,0
체험,세별헤이요목장,제주특별자치도 제주시 애월읍 평화로 1529,NAVER,20230101,20230630,0,"동물,먹이,아이,체험,생각,방문,새별오름,알파카,관리,동물원",10,,0,,0
키즈,서프라이즈테마파크,제주 제주시 조천읍 남조로 2243,NAVER,20230101,20230630,0,"아이,로봇,볼거리,생각,사진,방문,추천,저녁,캐릭터,야경",10,추천,1,,0
키즈,액트몬,제주 서귀포시 중문관광로 205,NAVER,20230101,20230630,0,"시간,아이,게임,오락실,고장,게임기,친절,서바이벌,기계,어른",10,친절,1,,0
키즈,제주코코몽에코파크,제주 서귀포시 남원읍 태위로 536 제주코코몽에코파크,NAVER,20230101,20230630,0,"아이,친절,시간,실내,직원,시설,놀이터,기차,놀이,체험",10,친절,1,,0
테마파크,블루마운틴4255,제주 서귀포시 성산읍 중산간동로 4255,NAVER,20230101,20230630,0,"족욕,커피,여행,설명,친구,피로,친절,오일,만족,피곤",10,"친절,만족",2,"피로,피곤",2
테마파크,생각하는정원,제주 제주시 한경면 녹차분재로 675,NAVER,20230101,20230630,0,"분재,정원,생각,방문,산책,제주,추천,원장,부모,사진",10,추천,1,,0
테마파크,쇠소깍산물관광농원,제주 서귀포시 남원읍 하례로 90,NAVER,20230101,20230630,0,"체험,볼거리,한라봉,사진,아이,구경,박물관,방문,음료,친절",10,친절,1,,0
테마파크,훈데르트바서파크,제주 제주시 우도면 우도해안길 32-12,NAVER,20230101,20230630,0,"우도,사진,시간,작품,작가,아이,볼거리,전시,정은혜,산책",10,,0,,0
테마파크,액티브파크,제주 제주시 한림읍 금능남로 76 ,NAVER,20230101,20230630,0,"아이,친절,체험,시간,직원,카트,클라이밍,방문,안전,선생",10,"친절,안전",2,,0
테마파크,베니스랜드,제주 서귀포시 성산읍 난산리 2575,NAVER,20230101,20230630,0,"곤돌라,사진,아이,베니스,체험,랜드,잉어,친절,추천,구경",10,"친절,추천",2,,0
자연,천제연폭포,제주 서귀포시 천제연로 132 천제연폭포관리소,NAVER,20230101,20230630,0,"폭포,폭포수,공사,구경,스트레스,중독,기대,만족,현재,낙하",10,"기대,만족",2,"스트레스,중독",2
자연,용머리해안,제주 서귀포시 안덕면 사계리 112-3,NAVER,20230101,20230630,0,"경관,용머리,해안,시간,아기,포토존,방문,정도,이날,파도",10,,0,,0
자연,정방폭포,제주 서귀포시 칠십리로214번길 37,NAVER,20230101,20230630,0,"폭포,바다,정방폭포,사진,유일,방문,물줄기,힐링,동양,근처",10,힐링,1,,0
자연,대포주상절리,제주 서귀포시 이어도로 36-24,NAVER,20230101,20230630,0,"공사,무료,전망대,한정,산책로,관람,가능,가까이,코빼기,시간",10,,0,,0
기타,더힐링타임,제주 제주시 서해안로 652,NAVER,20230101,20230630,0,"족욕,피로,여행,체험,친절,단체,오일,소금,힐링,구매",10,"친절,힐링",2,피로,1
기타,신화월드 랜딩다이닝,제주 서귀포시 안덕면 신화역사로304번길 38 랜딩관 제주신화월드 호텔앤리조트 G층,NAVER,20230101,20230630,0,"음식,방문,해산물,직원,랍스타,제주,가격,랜딩,다이닝,만족",10,만족,1,,0
기타,신화월드 스카이 온 파이브 다이닝,제주 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔앤리조트 5층,NAVER,20230101,20230630,0,"음식,디저트,메뉴,종류,친절,만족,와인,제한,방문,이용",10,"친절,만족",2,,0
레저관광,고스트타운,제주 제주시 애월읍 부룡수길 35-12,NAVER,20230101,20230630,0,"아이,친절,체험,고스트,가격,타운,폐허,귀신,제주,여행",10,친절,1,,0
레저관광,제주씨월드(우도잠수함),제주 서귀포시 성산읍 성산등용로 112-7,NAVER,20230101,20230630,0,"잠수함,멀미,시간,아이,예약,경험,물고기,바다,연락,여행",10,,0,,0
레저관광,중문승마공원,제주 서귀포시 이어도로 244,NAVER,20230101,20230630,0,"코스,친절,사진,체험,승마,바다,아이,직원,해변,추천",10,"친절,추천",2,,0
자연,천지연폭포,제주 서귀포시 천지동 667-7,NAVER,20230101,20230630,0,"폭포,사진,천지연폭포,추천,제주,방문,천지,주차,산책로,코스",10,추천,1,,0
기타,제주그림카페,제주 서귀포시 안덕면 녹차분재로 218,NAVER,20230101,20230630,0,"카페,사진,커피,박물관,그림,음료,컨셉,독특,아이스크림,가격",10,독특,1,,0
기타,난드르깡통구이,제주 서귀포시 안덕면 대평감산로 14,NAVER,20230101,20230630,0,"돼지,친절,제주,고기,직원,반찬,냉면,고민,필요,김치찌개",10,친절,1,고민,1
공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,KAKAO,20230101,20230630,100,"친절,사진,고흐,너어무,직원,입장권,주차장,네이버,구매,취향저격",10,친절,1,,0
공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,KAKAO,20230101,20230630,77,"작품,느낌,음악,바닥,감상,예술,입장료,생각,사진,시간",10,느낌,1,,0
공연전시,세계자동차박물관,제주 서귀포시 안덕면 중산간서로 1610,KAKAO,20230101,20230630,86,"자동차,전시,피아노,사슴,전시장,아이",6,,0,,0
공연전시,수목원테마파크,제주 제주시 은수길 69,KAKAO,20230101,20230630,45,"얼음,썰매,야시장,초등학생,학년,이상,따숩게,어른,볼거리,진심",10,진심,1,,0
공연전시,아리랑공연장,제주 서귀포시 표선면 번영로 2564-21,KAKAO,20230101,20230630,60,"단체,추천,정도,관람객,대부분,관광객,코스",7,추천,1,,0
공연전시,건강과성박물관,제주 서귀포시 안덕면 일주서로 1611,KAKAO,20230101,20230630,80,"생각,처음,표현,제주,별거,입장,동시,입구,남녀,성인",10,,0,,0
공연전시,윈드1947카트 테마파크,제주 서귀포시 토평공단로 78-27,KAKAO,20230101,20230630,66,"카트,안내,친절,직원,매연,최악,사고,연식,재미,코스",10,"친절,재미",2,최악,1
