CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,BASE_MT,ALL_TOTAL_CO,MON_VIEWS_CO,TUES_VIEWS_CO,WED_VIEWS_CO,THUR_VIEWS_CO,FRI_VIEWS_CO,SAT_VIEWS_CO,SUN_VIEWS_CO
c1,관광지,곤흘동(곤을동) 마을터,제주특별자치도 제주시 화북1동 4438,2023,05,132,18,32,17,23,13,20,9
c1,관광지,골프탕탕,제주특별자치도 서귀포시 안덕면 산록남로 762번길 71,2023,05,45,9,8,10,5,5,4,4
c1,관광지,곱닥한개,제주특별자치도 제주시 설촌로10길 12,2023,05,40,7,9,6,7,3,5,3
c1,관광지,공방:하루_반,제주특별자치도 제주시 구좌읍 월정7길 42-6 1층,2023,05,58,10,10,6,7,9,7,9
c1,관광지,공천포,제주특별자치도 서귀포시 남원읍 신례리,2023,05,72,14,12,9,12,9,7,9
c1,관광지,공천포구,제주특별자치도 서귀포시 남원읍 신례리,2023,05,58,6,13,5,7,10,8,9
c1,관광지,곶자왈,제주특별자치도 서귀포시 대정읍 신평리,2023,05,222,54,52,20,23,24,28,21
c1,관광지,곽지패총,제주특별자치도 제주시 애월읍 곽지리 2043-1,2023,05,46,8,12,2,7,5,5,7
c1,관광지,곽지해수욕장,제주특별자치도 제주시 애월읍 애월원당길 (곽지리),2023,05,1437,253,275,218,204,164,137,186
c1,관광지,곽지해수욕장야영장,제주특별자치도 제주시 애월읍 곽지리 1565,2023,05,134,22,23,22,15,20,18,14
c1,관광지,관덕정,제주특별자치도 제주시 관덕로 19,2023,05,745,143,130,169,87,67,64,85
c1,관광지,관음사,제주특별자치도 제주시 산록북로 660,2023,05,190,32,34,30,31,24,17,22
c1,관광지,관음사 군 주둔지 옛터,제주특별자치도 제주시 산록북로 660,2023,05,45,9,8,4,6,4,11,3
c1,관광지,관음사 야영장,제주특별자치도 제주시 산록북로 588,2023,05,180,37,27,29,22,21,22,22
c1,관광지,관음사 템플스테이,제주시 산록북로 660,2023,05,86,15,18,9,14,10,12,8
c1,관광지,광령귤나무,제주특별자치도 제주시 애월읍 광령8길 24-2,2023,05,41,7,6,6,6,6,5,5
c1,관광지,광치기해변,제주특별자치도 서귀포시 성산읍 섭지코지로 63,2023,05,1142,229,197,163,133,113,108,199
c1,관광지,교래자연휴양림,제주특별자치도 제주시 조천읍 남조로 2023,2023,05,267,61,44,44,38,31,27,22
c1,관광지,구엄리돌염전,제주특별자치도 제주시 애월읍 애월해안로 708,2023,05,435,84,75,69,57,43,54,53
c1,관광지,구엄포구,제주특별자치도 제주시 애월읍 구엄리,2023,05,69,11,16,10,10,5,11,6
c1,관광지,구좌 하도어촌계,제주특별자치도 제주시 구좌읍 해맞이해안로 1897-27,2023,05,116,16,17,20,20,19,13,11
c1,관광지,구좌해안로,제주특별자치도 제주시 구좌읍 구좌해안로,2023,05,74,10,17,6,12,10,11,8
c1,관광지,국립제주박물관,제주특별자치도 제주시 일주동로 17,2023,05,295,46,52,55,46,36,30,30
c1,관광지,"군산(군산오름,코메오름)",제주특별자치도 서귀포시 안덕면 창천리 산 3-1,2023,05,431,86,68,64,53,60,44,56
c1,관광지,굴동포구,제주특별자치도 제주시 구좌읍 해맞이해안로,2023,05,71,13,16,10,9,6,8,9
c1,관광지,굿다이버,제주특별자치도 서귀포시 중산간서로 41 (강정동),2023,05,37,7,7,8,10,1,1,3
c1,관광지,궁대오름(궁대악),제주특별자치도 서귀포시 성산읍 금백조로 446,2023,05,62,14,12,12,11,6,3,4
c1,관광지,귀덕연대,제주특별자치도 제주시 한림읍 귀덕14길 14-5,2023,05,35,6,13,4,5,0,3,4
c1,관광지,귀빈사,제주특별자치도 제주시 구좌읍 비자림로 1456,2023,05,66,14,13,12,7,4,7,9
c1,관광지,귤밭76번지,제주특별자치도 서귀포시 안덕면 병악로 76,2023,05,162,29,34,28,25,16,16,14
c1,관광지,귤빛캠핑장,제주특별자치도 제주시 조천읍 함와로 428,2023,05,99,16,19,17,13,8,10,16
c1,관광지,그랑블루 요트투어,제주특별자치도 서귀포시 대포로 174,2023,05,175,35,32,33,23,22,11,19
c1,관광지,그랑블루호(선상낚시),제주특별자치도 서귀포시 남원읍 위미중앙로180번길 10,2023,05,67,13,11,17,7,3,5,11
c1,관광지,그루밍시즌,제주특별자치도 서귀포시 동홍로 29,2023,05,42,7,9,8,4,2,6,6
c1,관광지,그루밍제주,제주특별자치도 서귀포시 천제연로 357,2023,05,52,10,11,6,8,7,6,4
c1,관광지,그리스신화박물관 / 트릭아이미술관,제주특별자치도 제주시 한림읍 광산로 942,2023,05,136,29,19,21,26,20,10,11
c1,관광지,그린크루즈(산방산유람선),제주특별자치도 서귀포시 안덕면 화순해안로106번길 16,2023,05,115,16,18,21,22,16,9,13
c1,관광지,그제바람 윈드서핑패들보드,제주특별자치도 제주시 선사로8길 13-4,2023,05,95,11,12,9,21,15,15,12
c1,관광지,금능석물원,제주특별자치도 제주시 한림읍 한림로 176,2023,05,170,31,31,32,20,22,18,16
c1,관광지,금능포구,제주특별자치도 제주시 한림읍 금능리,2023,05,59,10,7,14,7,7,3,11
c1,관광지,금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,2023,05,1414,250,264,232,175,176,151,166
c1,관광지,금덕무환자나무및팽나무군락,제주특별자치도 제주시 애월읍 유수암리 1920,2023,05,49,2,9,7,7,7,8,9
c1,관광지,금룡사,제주특별자치도 제주시 구좌읍 김녕로 148-11,2023,05,53,7,11,10,5,7,7,6
c1,관광지,금룡사 템플스테이,제주특별자치도 제주시 구좌읍 김녕로 148-11,2023,05,74,17,14,7,10,4,9,13
c1,관광지,금붕사,제주특별자치도 제주시 구좌읍 일주동로 3618-1,2023,05,87,15,15,7,16,8,18,8
c1,관광지,금성포구,제주특별자치도 제주시 애월읍 금성리 573-1,2023,05,57,6,15,9,11,5,5,6
c1,관광지,금악오름(왕매),제주특별자치도 제주시 한림읍 금악리 산 1-1,2023,05,457,81,81,71,61,55,58,50
c1,관광지,기독교순례길 1코스(순종의길),제주특별자치도 제주시 애월읍 금성하안길 3,2023,05,131,15,32,14,12,17,26,15
c1,관광지,기독교순례길 2코스(순교의길),제주특별자치도 제주시 한림읍 협재8길 8,2023,05,98,5,15,19,9,20,19,11
c1,관광지,기독교순례길 3코스(사명의길),제주특별자치도 제주시 한경면 조수3길 7,2023,05,94,7,19,17,11,16,15,9
c1,관광지,기독교순례길 4코스(화해의길),제주특별자치도 서귀포시 대정읍 추사로36번길 11,2023,05,92,13,20,16,10,10,19,4
c1,관광지,김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1,2023,05,513,91,91,94,77,53,46,61
c1,관광지,김녕 지질트레일,제주특별자치도 제주시 구좌읍 김녕로 209,2023,05,327,60,60,57,39,48,30,33
c1,관광지,김녕 청굴물,제주특별자치도 제주시 구좌읍 김녕리 1296,2023,05,154,28,34,25,16,23,16,12
c1,관광지,김녕금속공예벽화마을,제주특별자치도 제주시 구좌읍 김녕항3길 18-16,2023,05,119,19,18,25,16,12,12,17
c1,관광지,김녕사굴,제주특별자치도 제주시 구좌읍 덕천리 201-4,2023,05,286,52,51,42,54,29,28,30
c1,관광지,김녕요트투어,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,2023,05,184,31,29,34,27,17,25,21
c1,관광지,김녕항,제주특별자치도 제주시 구좌읍 김녕항1길 50-13,2023,05,88,15,14,13,17,15,8,6
c1,관광지,김녕해수욕장,제주특별자치도 제주시 구좌읍 구좌해안로 237,2023,05,1798,319,297,277,241,238,213,213
c1,관광지,김녕해수욕장야영장,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,2023,05,260,48,45,46,30,31,24,36
c1,관광지,김녕해안도로,제주특별자치도 제주시 구좌읍 김녕리,2023,05,140,24,26,16,20,18,19,17
c1,관광지,김만덕객주,제주특별자치도 제주시 임항로 68,2023,05,154,21,27,31,17,18,21,19
c1,관광지,김만덕기념관,제주특별자치도 제주시 산지로 7,2023,05,105,19,19,15,19,16,10,7
c1,관광지,김서프제주,제주특별자치도 서귀포시 색달로81번길 39,2023,05,49,9,10,8,5,8,3,6
c1,관광지,김영갑갤러리 두모악,제주특별자치도 서귀포시 성산읍 삼달로 137,2023,05,210,50,36,36,31,19,20,18
c1,관광지,김영수도서관,제주특별자치도 제주시 중앙로8길 18,2023,05,83,13,23,8,16,6,7,10
c1,관광지,김택화미술관,제주특별자치도 제주시 조천읍 신흥로 1,2023,05,90,20,19,12,9,11,8,11
c1,관광지,김한미술관 & 카페3206,제주특별자치도 제주시 한림읍 한상로 115,2023,05,80,17,17,13,13,5,7,8
c1,관광지,까끄래기오름,제주시 조천읍 교래리 128,2023,05,54,8,11,9,6,7,8,5
c1,관광지,꽃썸,서귀포시 안덕면 동광로 151,2023,05,59,8,10,11,8,8,8,6
c1,관광지,꿈바당 어린이도서관,제주특별자치도 제주시 연오로 140,2023,05,71,12,6,11,13,9,13,7
c1,관광지,나바론절벽,제주특별자치도 제주시 추자면 영흥리 산 19,2023,05,93,20,13,9,11,22,11,7
c1,관광지,나틸다,제주특별자치도 제주시 아란5길 31-6,2023,05,26,2,3,6,3,5,5,2
